"CODE","CHAPITRE","SOUS-CHAPITRE","COEFFICIENT B","DATE CREATION","LIBELLE","ENTENTE PREALABLE","REMBOURSEMENT 100%","NBR MAXI DE CODE","N° REGLE SPECIFIQUE","REF INDICATION MEDICALE","ACTES RESERVES","INITIATIVE BIOLOGISTE","CONTINGENCE TECHNIQUE","R.M.O.","EXAMEN SANGUIN","DERNIERE DATE EFFET","CODES INCOMPATIBLES"
9923,0,0,9,23/12/2009,"COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 9 (SANG)",,,,,,,"1",,,"1",19/01/2010,
9924,0,0,11,23/12/2009,"COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 11 (SANG)",,,,,,,"1",,,"1",19/01/2010,
9925,0,0,12,23/12/2009,"COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 12 (SANG)",,,,,,,"1",,,"1",19/01/2010,
9926,0,0,13,23/12/2009,"COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 13 (SANG)",,,,,,,"1",,,"1",19/01/2010,
9105,0,0,5,04/07/2002,"FORFAIT DE SECURITE POUR ECHANTILLON SANGUIN",,,,,,,"1",,,"1",11/11/2007,
9106,0,0,8,04/07/2002,"FORFAIT DE SECURITE POUR ECHANTILLONS BACTERIO, MYCO ET PARASITO",,,1,,,,"1",,,,01/04/2017,
9005,0,0,16,30/12/2008,"FORFAIT DE PRISE EN CHARGE PRE-ANALYTIQUE DU PATIENT",,,1,,,,"1",,,,20/04/2016,
9001,0,0,26,01/01/1996,"SUPPLEMENT POUR ACTES EN URGENCE NUIT",,,,,,,"1",,,,13/04/2014,"9002-9004"
9004,0,0,26,07/02/2001,"SUPPLEMENT POUR ACTES EN URGENCE (SAMEDI APRES 12H, DIMANCHE, FERIE)",,,,,,,"1",,,,13/04/2014,9001
9107,0,0,8,04/07/2002,"SUPPLEMENT POUR ACTES DE BIOLOGIE EFFECTUES EN ETABLISSEMENTS DE SOINS PRIVES",,,1,,,,"1",,,,13/04/2014,
4,1,0,100,01/01/1996,"HISTOPATH. BIOPSIES UNIQUES OU MULTIPLES NON INDIVIDUALISEES",,,,,,"1",,,,,01/12/1998,
5,1,0,130,01/01/1996,"HISTOPATH. BIOPSIES ETAGEES SUR MEME ORGANE ET INDIVIDUALISEES",,,,,,"1",,4,,,01/12/1998,
6,1,0,120,01/01/1996,"HISTOPATH. PIECE OPER. INTERESSANT UN ORGANE",,,,,,"1","1",,,,01/12/1998,
7,1,0,120,01/01/1996,"HISTOPATH. PRELEV. RESEC. OU CURETAGE ENDOSC. OU ENDOCAVIT.",,,,,,"1",,,,,01/12/1998,
8,1,0,220,01/01/1996,"HISTOPATH. PIECE OPER. COMPLEXE COMPORTANT PLUSIEURS ORGANES",,,,,,"1","1",,,,01/12/1998,
12,1,0,300,01/01/1996,"EX. EXTEMPORANE AVEC CONTROLE HISTOPATH. ULTERIEUR",,,1,,,"1",,4,,,01/12/1998,
13,1,0,55,01/01/1996,"CYTOPATH. GYNECOLOGIQUE UN OU PLUSIEURS PRELEVEMENTS (FROTTIS)",,,1,,,"1",,,"1",,01/12/1998,
14,1,0,100,01/01/1996,"CYTOPATH. LIQ. EPANCHEMENT, LAVAGE ALVEOLAIRE OU VESICAL, LCR",,,,,,"1",,,,,01/12/1998,
15,1,0,120,01/01/1996,"CYTOPATH. SUR PONCTION GANGLION, TUMEUR, ORGANE",,,,,,"1",,,,,01/12/1998,
16,1,0,130,01/01/1996,"CYTOPATH. SUR PONCTIONS PLUSIEURS ZONES DE VOISINAGE",,,,,,"1",,4,,,01/12/1998,
17,1,0,200,01/01/1996,"ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES EN PARAFFINE OU RESINE",,,,,,"1","1",,"1",,01/12/1998,
18,1,0,300,01/01/1996,"ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES A CONGELATION",,,,,,"1","1",,"1",,01/12/1998,"7886-7887"
23,1,0,200,23/09/2009,"EXAMEN IMMUNOCYTOCHIMIQUE EN COMPLEMENT D'UN ACTE ACP (0014-0015)",,,,,,"1","1",3,,,26/09/2010,
24,1,0,135,23/09/2009,"HPV : DETECTION DU GENOME (ADN) DES PAPILLOMAVIRUS HUMAINS ONCOGENES",,,1,,"1",,,,,,26/09/2010,4127
25,1,0,500,23/09/2009,"EXAMEN ANATOMOPATHOLOGIQUE PAR HYBRIDATION IN SITU",,,1,,"1","1","1",,,,26/09/2010,
21,1,0,50,28/07/2005,"MAJORATION PROVISOIRE CONVENTIONNELLE DE L'ACTE 0008 : LESIONS TUMORALES",,,,,,"1","1",,,,03/10/2007,
22,1,0,100,04/10/2007,"MAJORATION PROVISOIRE DE L'ACTE 0008 : LESIONS TUMORALES MALIGNES",,,,,,"1","1",,,,04/10/2007,
40,2,0,850,01/01/1996,"CARYOTYPE CONSTITUTIONNEL PRENATAL AVEC INCUBATION","1","1",1,,"1","1",,7,,"1",27/11/2009,41
41,2,0,1250,01/01/1996,"CARYOTYPE CONSTITUTIONNEL PRENATAL AVEC CULTURE","1","1",1,,"1","1",,7,,,27/11/2009,40
901,2,0,800,01/01/1996,"CARYOTYPE CONSTITUTIONNEL POSTNATAL SANGUIN",,,1,,,"1",,2,,"1",30/12/2004,902
902,2,0,1200,30/11/2004,"CARYOTYPE CONSTITUTIONNEL POSTNATAL SUR FIBROBLASTES",,,1,,,"1",,2,,,30/12/2004,901
906,2,0,800,24/01/2007,"CARYOTYPE ONCOLOGIQUE : SANG, MOELLE OU TISSUS AVEC CELLULES HEMATOPOIETIQUES",,,1,,"1","1",,2,,"1",30/04/2007,
907,2,0,1200,24/01/2007,"CARYOTYPE ONCOLOGIQUE : TUMEUR SOLIDE",,,1,,"1","1",,2,,,30/04/2007,
903,2,0,500,25/11/2004,"HYBRIDATION SUR CHROMOSOMES METAPHASIQUES (UNE SONDE)",,,1,,"1","1","1",2,,"1",30/04/2007,"904-905"
904,2,0,1000,14/12/2004,"HYBRIDATION SUR CHROMOSOMES METAPHASIQUES (DEUX OU PLUSIEURS SONDES)",,,1,,"1","1","1",2,,"1",30/04/2007,"903-905"
905,2,0,500,25/11/2004,"HYBRIDATION SUR NOYAUX INTERPHASIQUES",,,1,,"1","1","1",2,,"1",30/04/2007,"903-904"
59,3,1,200,25/01/2000,"PREPARATION DES SPERMATOZOIDES EN VUE D'IIU (INSEMINATION INTRA-UTERINE)",,,1,,"1","1",,,,,28/02/2002,"60-61-70-75-5205"
60,3,1,1550,25/01/2000,"FECONDATION IN VITRO SANS MICROMANIPULATION (FIV)",,,1,,"1","1",,,,,08/02/2009,"59-61"
61,3,1,2600,25/01/2000,"FECONDATION IN VITRO PAR MICROMANIPULATION (ICSI)",,,1,,"1","1",,,,,08/02/2009,"59-60"
62,3,1,500,25/01/2000,"PREPARATION DES SPERMATOZOIDES OBTENUS PAR PONCTION OU BIOPSIE EN VUE ICSI",,,1,,"1","1",,,,,28/02/2002,
54,3,2,350,01/01/1996,"CONGELATION D'EMBRYONS ( PAR CYCLE)",,,1,,"1","1",,,,,28/02/2002,
63,3,2,150,25/01/2000,"DECONGELATION D'EMBRYON (PAR CYCLE) + CATHETER",,,1,,"1","1",,,,,28/02/2002,
64,3,2,150,25/01/2000,"CRYOCONSERVATION D'EMBRYON(S) (PAR CYCLE ET PAR ANNEE)",,,1,,"1","1",,,,,28/02/2002,
65,3,2,350,25/01/2000,"CONGELATION DE SPERME... (PAR EJACULAT)",,,1,,"1","1",,,,,28/02/2002,
66,3,2,150,25/01/2000,"CRYOCONSERVATION DE SPERME (PAR PATIENT, PAR ANNEE)",,,1,,"1","1",,,,,28/02/2002,
67,3,2,350,25/01/2000,"CONGELATION DE SPERMATOZOIDES PRELEVES CHIRURGICALEMENT EN VUE ICSI(PAR PATIENT)",,,1,,"1","1",,,,,28/02/2002,
68,3,2,150,25/01/2000,"CRYOCONSERVATION DE SPERMATOZOIDES PRELEVES CHIR EN VUE ICSI(PAR PATIENT, ANNEE)",,,1,,"1","1",,,,,28/02/2002,
70,4,0,110,01/01/1996,"SPERMOGRAMME ET SPERMOCYTOGRAMME",,,1,,,,,5,"1",,26/02/2000,59
71,4,0,45,01/01/1996,"TEST POST-COITAL (TPC) OU TEST DE HUHNER",,,1,,,,,5,"1",,30/03/1997,
72,4,0,175,01/01/1996,"EXPLORATION BIOCHIMIQUE DE LA FONCTION PROSTATO-VESICULAIRE","1",,1,,"1",,,5,,,01/01/1996,
73,4,0,85,01/01/1996,"EXPLORATION DE LA FONCTION EPIDIDYMAIRE","1",,1,,"1",,,5,,,01/01/1996,
74,4,0,130,01/01/1996,"ETUDE DE L'EJACULAT FRACTIONNE","1",,1,,"1",,,5,,,01/01/1996,
75,4,0,120,01/01/1996,"TEST DE MIGRATION-SURVIE DES SPERMATOZOIDES","1",,1,,"1","1",,5,,,26/02/2000,59
76,4,0,50,01/01/1996,"RECHERCHE AC FIXES SUR LES SPERMATOZOIDES (HOMME)","1",,1,,"1",,,3,,,01/01/1996,
77,4,0,280,01/01/1996,"RECHERCHES INDIRECTES D'AC ANTISPERMATOZOIDES (HOMME)","1",,1,,"1",,"1",5,,"1",01/01/1996,
78,4,0,120,01/01/1996,"PENETRATION DU MUCUS CERVICAL : TEST CROISE","1",,1,,"1",,,5,,,01/01/1996,
79,4,0,280,01/01/1996,"RECHERCHE IMMUNISATION ANTISPERMATOZOIDES (FEMME)","1",,1,,"1",,,5,,"1",01/01/1996,
80,4,0,110,01/01/1996,"ETUDE D'UNE EJACULATION RETROGRADE","1",,1,,"1",,,5,,,01/01/1996,
81,4,0,50,01/01/1996,"COLORATION DES SPERMATOZOIDES AU BLEU D'ANILINE","1",,1,,"1",,,5,,,01/01/1996,
1101,5,1,100,01/01/1996,"MYELOGRAMME(MEDULLOGR) ADENOGRAMME OU SPLENOGRAMME",,,1,,,,,,"1","1",30/03/1997,"1105-1106"
1102,5,1,25,01/01/1996,"ETUDE COMPLEMENTAIRE DE CYTOCHIMIE (MOELLE OU SANG)",,,3,,,,"1",1,,"1",01/01/1996,
1103,5,1,300,01/01/1996,"PHENOTYPAGE DES CELLULES ANORMALES (MOELLE OU SANG)",,,1,,"1",,,2,,"1",01/01/1996,
1104,5,1,27,01/01/1996,"HEMOGRAMME Y COMPRIS PLAQUETTES (NFS , NFP)",,,1,,,,,5,"1","1",01/04/2017,"1105-1106-1107-1128-2108"
1105,5,1,100,01/01/1996,"DIAGNOSTIC  HEMOPATHIE MALIGNE (MOELLE OU SANG)",,,1,,"1",,"1",1,,"1",01/01/1996,"1101-1104-1106"
1106,5,1,50,01/01/1996,"SUIVI HEMOPATHIE MALIGNE CONNUE (MOELLE OU SANG)",,,1,,"1",,"1",1,,"1",01/01/1996,"1101-1104-1105"
1107,5,1,15,01/01/1996,"PLAQUETTES (THROMBOCYTES) : ETUDE ISOLEE",,,1,,,,"1",5,,"1",18/06/2011,"1001-1104-1128"
2108,5,1,7,14/02/1997,"HEMATOCRITE (HTE)",,,1,,,,,,,"1",17/04/2013,1104
1109,5,1,20,01/01/1996,"RETICULOCYTES (RC) : NUMERATION",,,1,,,,,2,"1","1",11/02/2011,
1110,5,1,20,01/01/1996,"CORPS DE HEINZ : RECHERCHE",,,1,,,,,4,,"1",01/01/1996,
1111,5,1,20,01/01/1996,"DREPANOCYTES : RECHERCHE",,,1,,,,,,,"1",01/01/1996,
1112,5,1,30,01/01/1996,"RESISTANCE GLOBULAIRE OSMOTIQUE",,,1,,,,,,,"1",01/01/1996,
1113,5,1,60,01/01/1996,"ELECTROPHORESE DE L'HEMOGLOBINE (GEL POLYACRYLAMIDE)",,,1,,,,,2,"1","1",30/03/1997,
1114,5,1,60,01/01/1996,"ELECTROPHORESE DE L'HEMOGLOBINE (CITRATE AGAR)",,,1,,,,,2,"1","1",30/03/1997,
1115,5,1,30,01/01/1996,"TEST SOLUBILITE DE L'HEMOGLOBINE (ITANO , FALCIFORMATION)",,,1,,,,,,,"1",01/01/1996,
1116,5,1,50,01/01/1996,"TEST D'AUTO-HEMOLYSE",,,1,,,,,4,,"1",01/01/1996,
1117,5,1,20,01/01/1996,"TEST A L'ISOPROPANOL (HEMOGLOBINE INSTABLE)",,,1,,,,,,,"1",01/01/1996,
1118,5,1,20,01/01/1996,"HEMOGLOBINE F : DOSAGE",,,1,,,,,,,"1",01/01/1996,
1119,5,1,80,01/01/1996,"RECH. HEMOGLOBINURIE NOCTURNE PAROXYSTIQUE",,,1,,,,,4,,"1",01/01/1996,
1120,5,1,120,01/01/1996,"RECH. ANOMALIE DE L'HEMOGLOBINE (3 TECHNIQUES MIN.)",,,1,,,,,5,,"1",01/01/1996,
1124,5,1,7,01/01/1996,"VITESSE DE SEDIMENTATION (VS)",,,1,,,,,,,"1",19/01/2010,
1122,5,1,80,01/01/1996,"LYMPHOCYTES HELPERS/SUPPRESSEURS (CD4, CD8, CD3 ...)",,,1,,,"1",,,,"1",01/01/1996,
1123,5,1,60,01/01/1996,"PROTOPORPHYRINES ZINC (PPZ)",,,1,,,,,,,"1",01/01/1996,
2109,5,1,70,24/01/2007,"RECHERCHE QUANTIFICATION D'HEMATIES FOETALES - TEST DE KLEIHAUER",,,1,,,,,2,,"1",30/04/2007,
1011,5,2,100,11/06/2013,"ETUDE FONCTIONS PLAQUETTAIRES (METHODE AGREGATION)",,,5,,"1",,,3,,"1",11/07/2013,
192,5,2,50,01/01/1996,"FACTEUR WILLEBRAND (DOSAGE FONCTIONNEL)",,,1,,,,,3,,"1",11/07/2013,
1013,5,2,40,11/06/2013,"FACTEUR WILLEBRAND (DOSAGE IMMUNOLOGIQUE)",,,1,,"1",,"1",3,,"1",11/07/2013,
1128,5,2,50,01/01/1996,"EXPLORATION DE BASE DE L'HEMOSTASE (TP + TCA + PLAQ.)",,,1,,,,,6,,"1",11/07/2013,"126-127-1104-1107-1127"
126,5,2,20,11/06/2003,"TEMPS DE QUICK (TQ,TP) EN L'ABSENCE DE TRAITEMENT PAR AVK",,,1,,"1",,"1",2,"1","1",11/07/2013,"127-1001-1128"
127,5,2,20,11/06/2003,"INR : TEMPS DE QUICK EN CAS DE TRAITEMENT PAR AVK",,,1,,"1",,,2,,"1",11/07/2013,"126-1001-1128"
1127,5,2,20,01/01/1996,"TEMPS DE CEPHALINE + ACTIVATEUR (TCA)",,,1,,,,"1",2,,"1",11/07/2013,1128
174,5,2,18,01/01/1996,"FIBRINOGENE (FACTEUR I) : DOSAGE FONCTIONNEL",,,1,,,,"1",2,"1","1",13/04/2014,
1014,5,2,25,11/06/2013,"FACTEUR II (PROTHROMBINE)- DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,
1015,5,2,25,11/06/2013,"FACTEUR V (PROACCELERINE)- DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,
1016,5,2,25,11/06/2013,"FACTEUR VII (PROCONVERTINE) - DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",19/04/2016,1032
1017,5,2,25,11/06/2013,"FACTEUR X (FACTEUR STUART) - DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",19/04/2016,1032
1032,5,2,25,11/06/2013,"FACTEURS VII ET X - DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,"1016-1017"
178,5,2,50,01/01/1996,"FACTEUR VIII (ANTIHEMOPHILIQUE A): DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,
179,5,2,50,01/01/1996,"FACTEUR IX (ANTIHEMOPHILIQUE B) : DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,
180,5,2,50,01/01/1996,"FACTEUR XI : DOSAGE ACTIVITE COAGULANTE",,,1,,,,"1",2,,"1",11/07/2013,
181,5,2,40,01/01/1996,"FACTEUR XII : DOSAGE ACTIVITE COAGULANTE",,,1,,,,,2,,"1",11/07/2013,
173,5,2,50,01/01/1996,"FACTEUR XIII (FACTEUR DE STABILISATION DE LA FIBRINE): DOSAGE",,,1,,,,,2,,"1",11/07/2013,
1018,5,2,100,11/06/2013,"INHIBITEUR ANTI-FACTEUR VIII OU ANTI-FACTEUR IX (RECHERCHE)",,,1,,"1",,"1",2,,"1",11/07/2013,
1019,5,2,200,11/06/2013,"INHIBITEUR ANTI-FACTEUR VIII OU ANTI-FACTEUR IX (TITRAGE)",,,1,,,,"1",2,,"1",11/07/2013,
182,5,2,20,01/01/1996,"ANTICOAGULANT CIRCULANT (DEPISTAGE) - CORRECTION TCA",,,1,,,,"1",3,,"1",11/07/2013,
1020,5,2,200,11/06/2013,"ANTICOAGULANT DE TYPE LUPIQUE (RECHERCHE ET IDENTIFICATION)",,,1,,"1",,,3,,"1",11/07/2013,
1021,5,2,30,11/06/2013,"D DIMERES OU PDF (DETERMINATION SEMI QUANTITATIVE)",,,1,,"1",,,3,,"1",11/07/2013,1022
1022,5,2,60,11/06/2013,"D DIMERES (DOSAGE)",,,1,,"1",,,3,,"1",11/07/2013,1021
175,5,2,30,01/01/1996,"TEMPS LYSE EUGLOBULINES",,,1,,,,,2,,"1",11/07/2013,
186,5,2,30,01/01/1996,"ACTIVITE ANTI-XA (DE L'HEPARINE OU D'UN DERIVE HEPARINIQUE)",,,1,,,,,3,,"1",11/07/2013,185
1024,5,2,150,11/06/2013,"ANTICORPS ANTI-FACTEUR 4 PLAQUETTAIRE (PF4) - RECHERCHE",,,1,,"1",,,2,,"1",11/07/2013,
189,5,2,40,01/01/1996,"ANTITHROMBINE (DOSAGE FONCTIONNEL)",,,1,,"1",,,3,"1","1",11/07/2013,
188,5,2,40,01/01/1996,"ANTITHROMBINE (DOSAGE IMMUNOLOGIQUE)",,,1,,"1",,"1",3,"1","1",11/07/2013,
190,5,2,50,01/01/1996,"PROTEINE S (DOSAGE FONCTIONNEL)",,,1,,"1",,,3,,"1",11/07/2013,
1025,5,2,50,11/06/2013,"PROTEINE S LIBRE ANTIGENE (DOSAGE IMMUNOLOGIQUE)",,,1,,"1",,"1",3,,"1",11/07/2013,
1026,5,2,50,11/06/2013,"PROTEINE S TOTALE (DOSAGE IMMUNOLOGIQUE)",,,1,,"1",,"1",3,,"1",11/07/2013,
191,5,2,50,01/01/1996,"PROTEINE C (DOSAGE FONCTIONNEL)",,,1,,"1",,,3,,"1",11/07/2013,
1027,5,2,50,11/06/2013,"PROTEINE C (DOSAGE IMMUNOLOGIQUE)",,,1,,"1",,"1",3,,"1",11/07/2013,
1028,5,2,40,11/06/2013,"FACTEUR I OU II OU V OU VII OU X : DOSAGE IMMUNOLOGIQUE",,,,,"1",,,3,,"1",11/07/2013,
1029,5,2,100,11/06/2013,"MUTATION G1691A DU GENE FACTEUR V (FACTEUR V LEIDEN)",,,1,,"1","1",,3,,"1",11/07/2013,"1030-1031"
1030,5,2,100,11/06/2013,"MUTATION G20210A DU GENE DE LA PROTHROMBINE",,,1,,"1","1",,3,,"1",11/07/2013,"1029-1031"
1031,5,2,150,11/06/2013,"MUTATIONS G1691A DU GENE DU FV (FV LEIDEN) + G202010A DU GENE DU FII",,,1,,"1","1",,3,,"1",11/07/2013,"1029-1030"
1140,5,3,34,01/01/1996,"GROUPAGE SANGUIN ABO-RH (D) (GS)",,,2,,"1",,"1",6,"1","1",20/04/2016,
1145,5,3,34,01/01/1996,"PHENOTYPES RH (C, C, E, E)  ET KELL (K)",,,2,,"1",,"1",4,"1","1",20/04/2016,
1146,5,3,15,01/01/1996,"AG ERYTHROC. (CW, KIDD, DUFFY, S, S ...) CHAQUE AG",,,5,,"1",,"1",,,"1",01/01/1996,
1141,5,3,39,01/01/1996,"RAI : DEPISTAGE",,,,,,,"1",6,"1","1",13/04/2014,
1131,5,3,65,01/07/1999,"RAI : IDENTIFICATION",,,,,,,"1",7,"1","1",12/07/1999,
1149,5,3,20,01/01/1996,"RAI : TITRAGE D'UN ANTICORPS IDENTIFIE",,,,,,,"1",,"1","1",28/02/2002,
1150,5,3,95,01/01/1996,"RAI : DOSAGE PONDERAL D'UN ANTICORPS",,,,,,,"1",,"1","1",13/04/2014,
1151,5,3,15,01/01/1996,"AC IMMUNS DU SYSTEME ABO : DEPISTAGE ET TITRAGE",,,1,,"1",,,,,"1",01/01/1996,
1152,5,3,35,01/01/1996,"EPREUVE DIRECTE COMPATIBILITE POUR CHAQUE UNITE SANG",,,,,,,,4,,"1",01/01/1996,
1153,5,3,15,01/01/1996,"TEST DIRECT DE COOMBS (ANTIGLOBULINE POLYVALENTE)",,,1,,,,"1",,,"1",01/01/1996,
1154,5,3,15,01/01/1996,"TEST DIRECT DE COOMBS (ANTIGLOBULINE SPECIFIQUE)",,,4,,,,"1",,,"1",01/01/1996,
1155,5,3,20,01/01/1996,"EPREUVE D'ELUTION D'ANTICORPS A PARTIR DE GR",,,1,,,,"1",,,"1",01/01/1996,
1156,5,3,20,01/01/1996,"EPREUVE D'ABSORPTION D'ANTICORPS SUR GR",,,,,,,"1",,,"1",11/07/1999,
160,5,3,200,01/01/1996,"GROUPAGE PLAQUETTAIRE (PLA)",,,,,"1",,,6,,"1",01/01/1996,
161,5,3,200,01/01/1996,"GROUPAGE GRANULOCYTAIRE (NA, NB, NC, ND, NE)",,,,,"1",,,6,,"1",01/01/1996,
162,5,3,100,01/01/1996,"ANTICORPS ANTIPLAQUETTAIRES : DEPISTAGE",,,,,"1","1",,2,,"1",01/01/1996,
163,5,3,300,01/01/1996,"ANTICORPS ANTIPLAQUETTAIRES : IDENTIFICATION",,,,,"1","1","1",2,,"1",01/01/1996,
164,5,3,100,01/01/1996,"ANTICORPS ANTIGRANULOCYTAIRES : DEPISTAGE",,,,,"1","1",,2,,"1",01/01/1996,
165,5,3,300,01/01/1996,"ANTICORPS ANTIGRANULOCYTAIRES : IDENTIFICATION",,,,,"1","1","1",2,,"1",01/01/1996,
5201,6,1,65,30/07/1997,"EX MICROBIO URINES (ECBU)",,,1,,,,,7,"1",,31/01/2012,"219-221"
5202,6,1,140,30/07/1997,"EX MICROBIO SECRETIONS, ULCERATIONS, EXSUDATS (ANO) GENITAUX FEMME (PV)",,,1,,,,,7,,,04/11/2011,
5203,6,1,120,30/07/1997,"EX MICROBIO SECRETIONS, ULCERATIONS, EXSUDATS (ANO) GENITAUX HOMME (P-URETHRAL),",,,1,,,,,7,,,04/11/2011,
5204,6,1,220,30/07/1997,"EX MICROBIO PRODUIT ORIGINE PELVIENNE OBTENU PAR COELIOSCOPIE",,,2,,,,,7,,,04/11/2011,
5205,6,1,90,30/07/1997,"EX MICROBIO DU SPERME",,,1,,,,,7,,,04/11/2011,59
5207,6,1,180,30/07/1997,"EX MICROBIO MATIERES FECALES ET/OU PRELEVEMENT RECTAL",,,1,,,,,7,,,12/07/1999,"4205-4206-4266-4267"
5209,6,1,100,30/07/1997,"EX MICROBIO DE LA SPHERE ORO-RHINO-PHARYNGEE",,,1,,,,,7,,,12/07/1999,
5210,6,1,150,30/07/1997,"EX MICROBIO SECRETIONS BRONCHO-PULMONAIRES ET EXPECTORATIONS",,,1,,,,,7,,,31/01/2012,
5230,6,1,200,01/07/1999,"EX MICROBIO PROD ASPIRATION BRONCHIQUE, BBP ET LBA",,,2,,,,,7,,,12/07/1999,
5231,6,1,200,01/07/1999,"EX MICROBIO DE LIQ DE PONCTION (LCR, ARTICULATION, PERITOINE, ...)",,,,,,,,7,,,12/07/1999,
5213,6,1,100,30/07/1997,"EX MICROBIO P. OCULAIRE: CONJONCTIVITE BACTERIENNE",,,1,,,,,7,,,04/11/2011,
5226,6,1,100,30/07/1997,"EX MICROBIO P.OCULAIRE PAR OPHTALMO :LESIONS ULCEREUSES",,,2,,,,,7,,,12/07/1999,
5218,6,1,150,30/07/1997,"EX MICROBIO P. OCULAIRE (CORNEES, LENTILLES...) ACANTHAMOEBA",,,1,,,,,7,,,12/07/1999,
5214,6,1,110,30/07/1997,"EX MICROBIO PEAU, PHANERES",,,,,,,,7,,,12/07/1999,
5215,6,1,120,30/07/1997,"EX MICROBIO PLAIE, ECOULEMENT PURULENT, TISSU",,,,,,,,7,,,12/07/1999,
5224,6,1,200,30/07/1997,"EX MICROBIO PUS (COLLECTION FERMEE)",,,,,,,,7,,,01/12/1998,
5216,6,1,150,30/07/1997,"EX MICROBIO PREL DIVERS : CATHET, CHAMBR IMPLANT, PROTHESE, VALVES",,,,,,,,7,,,01/12/1998,
5222,6,1,120,30/07/1997,"EX MICROBIO PREL DIVERS : MECHES (PAR SITE), REDON (PAR SITE), STERILET",,,,,,,,7,,,01/12/1998,
5223,6,1,100,30/07/1997,"EX MICROBIO PLACENTA, LOOCHIES",,,1,,,,,7,,,12/07/1999,
5225,6,1,150,30/07/1997,"EX MICROBIO PREL PLURI-ORIFICIELS NOUVEAU-NE",,,1,,,,,7,,,31/01/2012,
5229,6,1,10,30/07/1997,"INFECTION NOSOCOMIALE : COTATION SUPPLEMENTAIRE",,,1,,,,"1",,,,12/07/1999,
5219,6,1,80,01/07/1999,"EX MICROBIO HEMOCULTURE QUALITATIVE",,,,,,,,7,,"1",31/01/2012,5221
5221,6,1,120,30/07/1997,"EX MICROBIO HEMOCULTURE QUANTITATIVE",,,,,,,,7,,"1",29/04/2007,5219
214,6,1,60,01/01/1996,"BACTERIE AEROBIE OU MICROAEROPHILE NOMMEMENT DESIGNEE : RECH. ISOLEE",,,,,,,"1",7,,,26/02/2000,
